Start	End	Type	Weight
1230	1232	0	1
1230	1234	0	1
1232	1234	0	1
6352	1230	1	1
6352	1232	1	1
6352	1234	1	1
356	355	1	1
8717	8772	1	1
355	8772	1	1
8772	841	1	1
841	637	1	1
637	581	1	1
637	578	1	1
581	54205	1	1
578	54205	1	1
54205	842	1	1
842	836	1	1
841	836	1	1
4790	5970	0	1
1147	4790	1	2
1147	5970	1	2
3551	4790	1	2
3551	5970	1	2
8517	4790	1	2
8517	5970	1	2
3554	1147	1	2
3554	3551	1	2
3554	8517	1	2
5566	5567	0	1
5566	5568	0	1
5567	5568	0	1
107	5566	1	6
107	5567	1	6
107	5568	1	6
108	5566	1	6
108	5567	1	6
108	5568	1	6
109	5566	1	6
109	5567	1	6
109	5568	1	6
111	5566	1	6
111	5567	1	6
111	5568	1	6
112	5566	1	6
112	5567	1	6
112	5568	1	6
113	5566	1	6
113	5567	1	6
113	5568	1	6
114	5566	1	6
114	5567	1	6
114	5568	1	6
115	5566	1	6
115	5567	1	6
115	5568	1	6
196883	5566	1	6
196883	5567	1	6
196883	5568	1	6
5566	1499	1	2
5567	1499	1	2
5568	1499	1	2
5290	10000	1	2
5290	207	1	2
5290	208	1	2
5291	10000	1	2
5291	207	1	2
5291	208	1	2
5293	10000	1	2
5293	207	1	2
5293	208	1	2
5295	10000	1	2
5295	207	1	2
5295	208	1	2
5296	10000	1	2
5296	207	1	2
5296	208	1	2
8503	10000	1	2
8503	207	1	2
8503	208	1	2
10681	387	1	2
2782	387	1	2
2783	387	1	2
2784	387	1	2
2785	387	1	2
2786	387	1	2
2787	387	1	2
2788	387	1	2
2790	387	1	2
2791	387	1	2
2792	387	1	2
2793	387	1	2
51764	387	1	2
54331	387	1	2
55970	387	1	2
59345	387	1	2
94235	387	1	2
387	5608	1	2
5578	5579	0	1
5578	5582	0	1
5579	5582	0	1
5578	2185	1	2
5579	2185	1	2
5582	2185	1	2
1956	5290	1	2
1956	5291	1	2
1956	5293	1	2
1956	5295	1	2
1956	5296	1	2
1956	8503	1	2
7249	7248	0	1
7249	6009	1	1
7248	6009	1	1
10000	7249	1	1
10000	7248	1	1
207	7249	1	1
207	7248	1	1
208	7249	1	1
208	7248	1	1
5879	387	1	1
5880	387	1	1
5881	387	1	1
2770	107	1	3
2770	108	1	3
2770	109	1	3
2770	111	1	3
2770	112	1	3
2770	113	1	3
2770	114	1	3
2770	115	1	3
2770	196883	1	3
2771	107	1	3
2771	108	1	3
2771	109	1	3
2771	111	1	3
2771	112	1	3
2771	113	1	3
2771	114	1	3
2771	115	1	3
2771	196883	1	3
2773	107	1	3
2773	108	1	3
2773	109	1	3
2773	111	1	3
2773	112	1	3
2773	113	1	3
2773	114	1	3
2773	115	1	3
2773	196883	1	3
2775	107	1	3
2775	108	1	3
2775	109	1	3
2775	111	1	3
2775	112	1	3
2775	113	1	3
2775	114	1	3
2775	115	1	3
2775	196883	1	3
1029	4193	1	1
4193	7157	1	1
1019	595	0	1
1021	595	0	1
1026	1019	1	1
1026	1021	1	1
1026	595	1	1
1029	1019	1	1
1029	1021	1	1
1029	595	1	1
3439	3440	0	1
3439	3441	0	1
3439	3442	0	1
3439	3443	0	1
3439	3444	0	1
3439	3445	0	1
3439	3446	0	1
3439	3447	0	1
3439	3448	0	1
3439	3449	0	1
3439	3451	0	1
3439	3452	0	1
3440	3441	0	1
3440	3442	0	1
3440	3443	0	1
3440	3444	0	1
3440	3445	0	1
3440	3446	0	1
3440	3447	0	1
3440	3448	0	1
3440	3449	0	1
3440	3451	0	1
3440	3452	0	1
3441	3442	0	1
3441	3443	0	1
3441	3444	0	1
3441	3445	0	1
3441	3446	0	1
3441	3447	0	1
3441	3448	0	1
3441	3449	0	1
3441	3451	0	1
3441	3452	0	1
3442	3443	0	1
3442	3444	0	1
3442	3445	0	1
3442	3446	0	1
3442	3447	0	1
3442	3448	0	1
3442	3449	0	1
3442	3451	0	1
3442	3452	0	1
3443	3444	0	1
3443	3445	0	1
3443	3446	0	1
3443	3447	0	1
3443	3448	0	1
3443	3449	0	1
3443	3451	0	1
3443	3452	0	1
3444	3445	0	1
3444	3446	0	1
3444	3447	0	1
3444	3448	0	1
3444	3449	0	1
3444	3451	0	1
3444	3452	0	1
3445	3446	0	1
3445	3447	0	1
3445	3448	0	1
3445	3449	0	1
3445	3451	0	1
3445	3452	0	1
3446	3447	0	1
3446	3448	0	1
3446	3449	0	1
3446	3451	0	1
3446	3452	0	1
3447	3448	0	1
3447	3449	0	1
3447	3451	0	1
3447	3452	0	1
3448	3449	0	1
3448	3451	0	1
3448	3452	0	1
3449	3451	0	1
3449	3452	0	1
3451	3452	0	1
3661	3439	1	1
3661	3440	1	1
3661	3441	1	1
3661	3442	1	1
3661	3443	1	1
3661	3444	1	1
3661	3445	1	1
3661	3446	1	1
3661	3447	1	1
3661	3448	1	1
3661	3449	1	1
3661	3451	1	1
3661	3452	1	1
3661	3456	1	1
4790	6347	1	2
5970	6347	1	2
4790	6352	1	2
5970	6352	1	2
4790	3576	1	2
5970	3576	1	2
4790	3569	1	2
5970	3569	1	2
4772	4773	0	1
4772	4775	0	1
4772	4776	0	1
4773	4775	0	1
4773	4776	0	1
4775	4776	0	1
4772	3576	1	1
4773	3576	1	1
4775	3576	1	1
4776	3576	1	1
4772	5743	1	1
4773	5743	1	1
4775	5743	1	1
4776	5743	1	1
1499	595	1	1
1499	4609	1	1
6774	595	1	1
6774	5743	1	1
6774	7422	1	1
7157	1026	1	1
1869	1870	0	1
1869	1871	0	1
1870	1871	0	1
5925	1869	0	1
5925	1870	0	1
5925	1871	0	1
4792	4790	0	2
4792	5970	0	2
2475	1978	1	2
6198	6199	0	1
2475	6198	1	2
2475	6199	1	2
163688	51806	0	1
163688	801	0	1
163688	805	0	1
163688	808	0	1
163688	810	0	1
163688	91860	0	1
51806	801	0	1
51806	805	0	1
51806	808	0	1
51806	810	0	1
51806	91860	0	1
801	805	0	1
801	808	0	1
801	810	0	1
801	91860	0	1
805	808	0	1
805	810	0	1
805	91860	0	1
808	810	0	1
808	91860	0	1
810	91860	0	1
5530	5532	0	1
5530	5533	0	1
5530	5534	0	1
5530	5535	0	1
5532	5533	0	1
5532	5534	0	1
5532	5535	0	1
5533	5534	0	1
5533	5535	0	1
5534	5535	0	1
163688	5530	0	1
163688	5532	0	1
163688	5533	0	1
163688	5534	0	1
163688	5535	0	1
51806	5530	0	1
51806	5532	0	1
51806	5533	0	1
51806	5534	0	1
51806	5535	0	1
801	5530	0	1
801	5532	0	1
801	5533	0	1
801	5534	0	1
801	5535	0	1
805	5530	0	1
805	5532	0	1
805	5533	0	1
805	5534	0	1
805	5535	0	1
808	5530	0	1
808	5532	0	1
808	5533	0	1
808	5534	0	1
808	5535	0	1
810	5530	0	1
810	5532	0	1
810	5533	0	1
810	5534	0	1
810	5535	0	1
91860	5530	0	1
91860	5532	0	1
91860	5533	0	1
91860	5534	0	1
91860	5535	0	1
5530	4772	1	1
5530	4773	1	1
5530	4775	1	1
5530	4776	1	1
5532	4772	1	1
5532	4773	1	1
5532	4775	1	1
5532	4776	1	1
5533	4772	1	1
5533	4773	1	1
5533	4775	1	1
5533	4776	1	1
5534	4772	1	1
5534	4773	1	1
5534	4775	1	1
5534	4776	1	1
5535	4772	1	1
